Name,Website,StadiumName
Arsenal,https://www.arsenal.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Emirates Stadium
Aston Villa,https://www.avfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Villa Park
AFC Bournemouth,http://www.afcb.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Vitality Stadium
Brentford,https://www.brentfordfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Brentford Community Stadium
Brighton and Hove Albion,https://www.brightonandhovealbion.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Amex Stadium
Burnley,http://www.burnleyfootballclub.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Turf Moor
Cardiff City,http://www.cardiffcityfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Cardiff City Stadium
Chelsea,https://www.chelseafc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Stamford Bridge
Crystal Palace,http://www.cpfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Selhurst Park
Everton,http://www.evertonfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Goodison Park
Fulham,http://www.fulhamfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Craven Cottage
Huddersfield Town,https://www.htafc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,John Smith's Stadium
Hull City,http://www.hullcitytigers.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,KCOM Stadium
Leeds United,http://www.leedsunited.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Elland Road
Leicester City,http://www.lcfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,King Power Stadium
Liverpool,http://www.liverpoolfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Anfield
Manchester City,http://www.mancity.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Etihad Stadium
Manchester United,http://www.manutd.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Old Trafford
Middlesbrough,http://www.mfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Riverside Stadium
Newcastle United,http://www.nufc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,St. James' Park
Norwich City,http://www.canaries.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Carrow Road
Sheffield United,http://www.sufc.co.uk/?utm_source=www.premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Bramall Lane
Southampton,https://www.southamptonfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,St. Mary's Stadium
Stoke City,http://www.stokecityfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,bet365 Stadium
Sunderland,http://www.safc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Stadium of Light
Swansea City,http://www.swanseacity.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Liberty Stadium
Tottenham Hotspur,http://www.tottenhamhotspur.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Tottenham Hotspur Stadium
Watford,https://www.watfordfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Vicarage Road
West Bromwich Albion,http://www.wba.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,The Hawthorns
West Ham United,http://www.whufc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,London Stadium
Wolverhampton Wanderers,http://www.wolves.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,Molineux Stadium
