ID,FullName,Nationaility,Position,BirthDate,Height,Weight
19925,Ellis Simms,England,Forward,05/01/2001,,
6784,Felipe Anderson,Brazil,Midfielder,15/04/1993,175,
37776,Jefferson Lerma,Colombia,Midfielder,25/10/1994,179,
14559,Alex Cochrane,England,Defender,21/04/2000,,
14800,Brahim Díaz,Spain,Midfielder,03/08/1999,171,
21964,Benjamín Garré,Argentina,Midfielder,11/07/2000,172,
8982,Anthony Knockaert,France,Midfielder,20/11/1991,172,
73896,Ben Nelson,England,Defender,18/03/2004,,
15007,Alfie Jones,England,Defender,07/10/1997,191,
14170,Levi Lumeka,England,Forward,05/09/1998,170,
9131,Albert Adomah,Ghana,Midfielder,13/12/1987,185,
8163,Lewis Dunk,England,Defender,21/11/1991,192,88
3924,Oliver Norwood,Northern Ireland,Midfielder,12/04/1991,180,
23837,George Broadbent,England,Midfielder,30/09/2000,188,
53177,Lucas De Bolle,Scotland,Midfielder,22/10/2002,,
10543,Sheyi Ojo,England,Midfielder,19/06/1997,177,
19851,Giovani Lo Celso,Argentina,Midfielder,09/04/1996,177,
4573,Alex McCarthy,England,Goalkeeper,03/12/1989,193,79
20224,Davinson Sánchez,Colombia,Defender,12/06/1996,187,81
19869,Dominic Thompson,England,Defender,26/07/2000,,
51209,Joshua Sargent,United States,Forward,20/02/2000,185,79
49490,Charlie Patino,England,Midfielder,17/10/2003,,
20701,Emmanuel Dennis,Nigeria,Forward,15/11/1997,175,67
79245,George Lewis,Rwanda,Forward,16/06/2000,,
66565,Owen Beck,Wales,Defender,09/08/2002,,
24253,Adama Diakhaby,France,Forward,05/07/1996,184,
8707,Dan Burn,England,Defender,09/05/1992,198,87
51418,Samuel Sharrock-Peplow,England,Midfielder,14/07/2002,,
14803,Daniel Arzani,Australia,Forward,04/01/1999,171,
15226,Cameron John,England,Defender,24/08/1999,,
8691,Charlie Taylor,England,Defender,18/09/1993,176,70
66518,Arjan Raikhy,England,Midfielder,20/10/2002,,
2664,Julian Speroni,Argentina,Goalkeeper,18/05/1979,186,
54392,Zack Steffen,United States,Goalkeeper,02/04/1995,191,86
23911,Sam Greenwood,England,Forward,26/01/2002,185,
107826,Jack Wells-Morrison,England,Midfielder,18/02/2004,,
70150,Christian Saydee,England,Forward,10/05/2002,181,
69176,Amad Diallo,Cote D’Ivoire,Forward,11/07/2002,173,
13490,Yohan Benalouane,Tunisia,Defender,28/03/1987,185,
64069,Ademipo Odubeko,Ireland,Forward,21/10/2002,,
3314,Luke Ayling,England,Defender,25/08/1991,185,72
10000,Kortney Hause,England,Defender,16/07/1995,191,77
19871,Folarin Balogun,England,Forward,03/07/2001,178,
66657,Oscar Bobb,Norway,Midfielder,12/07/2003,,
4818,Harrison Reed,England,Midfielder,27/01/1995,181,
23832,Ethan Laird,England,Defender,05/08/2001,177,
10542,Dejan Iliev,North Macedonia,Goalkeeper,25/02/1995,195,
13901,Connor Ronan,Ireland,Midfielder,06/03/1998,178,
4136,Conor Coady,England,Defender,25/02/1993,185,73
26556,Mihai-Alexandru Dobre,Romania,Midfielder,30/08/1998,185,
47259,Philip Heise,Germany,Defender,20/06/1991,184,
16006,Konstantinos Tsimikas,Greece,Defender,12/05/1996,178,77
23738,Stephen Duke-McKenna,Guyana,Midfielder,17/08/2000,,
10394,Bertrand Traoré,Burkina Faso,Forward,06/09/1995,181,73
8143,James Tarkowski,England,Defender,19/11/1992,185,81
24834,Pote,Portugal,Midfielder,28/06/1998,173,
5548,Mbaye Diagne,Senegal,Forward,28/10/1991,191,
67189,Kjell Scherpen,Netherlands,Goalkeeper,23/01/2000,204,98
13796,Joe Rodon,Wales,Defender,22/10/1997,180,70
51454,Leif Davis,England,Defender,31/12/1999,166,
5110,Pierre-Emerick Aubameyang,Gabon,Forward,18/06/1989,187,
5758,Lucas Digne,France,Defender,20/07/1993,178,74
31439,Ryan Edmondson,England,Forward,20/05/2001,,
10486,Callum Roberts,England,Midfielder,14/04/1997,,
8162,Bruno,Spain,Defender,01/10/1980,181,
3175,Andy Carroll,England,Forward,06/01/1989,193,
6519,Sadio Mané,Senegal,Forward,10/04/1992,175,69
67454,Trincão,Portugal,Forward,29/12/1999,184,70
75226,Cheikh Diaby,France,Forward,07/03/2000,,
4260,Jack Grealish,England,Midfielder,10/09/1995,175,68
6425,Joselu,Spain,Forward,27/03/1990,192,
53269,Oliver Casey,England,Defender,14/10/2000,188,
10449,Jonjoe Kenny,England,Defender,15/03/1997,176,67
9169,George Baldock,England,Defender,09/03/1993,178,
92706,Andrew Moran,Ireland,Midfielder,15/10/2003,,
9167,Dele Alli,England,Midfielder,11/04/1996,188,76
67634,Vitinha,Portugal,Midfielder,13/02/2000,172,
19608,Chris Löwe,Germany,Defender,16/04/1989,175,
4656,Ki Sung-Yeung,South Korea,Midfielder,24/01/1989,189,
24156,Raphinha,Brazil,Forward,14/12/1996,176,68
12198,Laurens De Bock,Belgium,Defender,07/11/1992,179,74
2896,John Ruddy,England,Goalkeeper,24/10/1986,193,97
33238,Philippe Sandler,Netherlands,Defender,10/02/1997,188,
12576,Djibril Sidibé,France,Defender,29/07/1992,182,
3564,Marc Albrighton,England,Midfielder,18/11/1989,175,74
4736,Aron Gunnarsson,Iceland,Midfielder,22/04/1989,178,
51556,Tawanda Maswanhise,England,Midfielder,20/11/2002,,
4477,Santi Cazorla,Spain,Midfielder,13/12/1984,168,
23812,Morgan Boyes,Wales,Defender,22/04/2001,177,
24412,Tom Trybull,Germany,Midfielder,09/03/1993,181,
11355,João Mário,Portugal,Midfielder,19/01/1993,179,
3926,Joshua King,Norway,Forward,15/01/1992,180,74
4495,Andreas Christensen,Denmark,Defender,10/04/1996,187,82
11267,Aboubakar Kamara,Mauritania,Forward,07/03/1995,177,
14051,Nathaniel Phillips,England,Defender,21/03/1997,190,
3046,Kieran Gibbs,England,Defender,26/09/1989,181,
19677,Brandon Mason,England,Defender,30/09/1997,173,
19620,Oleksandr Zinchenko,Ukraine,Defender,15/12/1996,175,64
5328,Danilo,Brazil,Defender,15/07/1991,184,
3222,Phil Jagielka,England,Defender,17/08/1982,180,
43087,Peter Etebo,Nigeria,Midfielder,09/11/1995,172,70
4328,Sergio Agüero,Argentina,Forward,02/06/1988,173,
52153,Moussa Djenepo,Mali,Midfielder,15/06/1998,177,65
12847,Pontus Jansson,Sweden,Defender,13/02/1991,194,89
14716,Harvey Barnes,England,Midfielder,09/12/1997,174,66
54144,Imrân Louza,Morocco,Midfielder,01/05/1999,178,65
49144,Jordan Zemura,Zimbabwe,Defender,14/11/1999,,
10146,Jordan Graham,England,Midfielder,05/03/1995,182,
13329,Ben Stevenson,England,Midfielder,23/03/1997,183,
13825,Adalberto Peñaranda,Venezuela,Forward,31/05/1997,185,
66094,Nuno Tavares,Portugal,Defender,26/01/2000,183,75
3360,Branislav Ivanovic,Serbia,Defender,22/02/1984,185,
15340,Taiwo Awoniyi,Nigeria,Forward,12/08/1997,183,
24353,Lewis O'Brien,England,Midfielder,14/10/1998,173,
12817,Allan Saint-Maximin,France,Forward,12/03/1997,173,67
40320,Percy Tau,South Africa,Forward,13/05/1994,175,
54889,Édouard Mendy,Senegal,Goalkeeper,01/03/1992,197,86
51638,Kamarai Simon-Swyer,England,Forward,04/12/2002,,
5384,Leroy Sané,Germany,Forward,11/01/1996,183,
19888,Jacob Ramsey,England,Midfielder,28/05/2001,,
14897,Sean Longstaff,England,Midfielder,30/10/1997,180,65
12365,Jordy Clasie,Netherlands,Midfielder,27/06/1991,169,
30527,Sylvester Jasper,Bulgaria,Forward,13/09/2001,,
51538,Adam Leathers,England,Midfielder,14/11/2001,,
65849,Kgaogelo Chauke,England,Midfielder,08/01/2003,,
6451,Martin Dúbravka,Slovakia,Goalkeeper,15/01/1989,190,83
9381,Nathan Thomas,England,Midfielder,27/09/1994,178,
13494,Shinji Okazaki,Japan,Forward,16/04/1986,174,
3894,Tom Cairney,Scotland,Midfielder,20/01/1991,186,
23978,George Harmon,England,Defender,08/12/2000,,
5140,Virgil van Dijk,Netherlands,Defender,08/07/1991,193,92
6712,Timothy Castagne,Belgium,Defender,05/12/1995,185,80
49259,Anthony Elanga,Sweden,Forward,27/04/2002,178,
3642,Diego Cavalieri,Brazil,Goalkeeper,01/12/1982,189,
6820,Ondrej Duda,Slovakia,Midfielder,05/12/1994,181,
9895,Matthew Pennington,England,Defender,06/10/1994,185,
23696,Marcel Lavinier,Portugal,Defender,16/12/2000,180,
4878,Jairo Riedewald,Netherlands,Midfielder,09/09/1996,182,79
8050,Harry Arter,Ireland,Midfielder,28/12/1989,176,
25246,Pablo Fornals,Spain,Midfielder,22/02/1996,178,67
16204,Willy Boly,Cote D’Ivoire,Defender,03/02/1991,195,92
111987,Daniel Jebbison,England,Forward,11/07/2003,190,
3799,Fabian Delph,England,Midfielder,21/11/1989,174,60
14433,Julio Pleguezuelo,Spain,Defender,26/01/1997,180,
10441,Jérémie Boga,Cote D’Ivoire,Forward,03/01/1997,172,
14984,Adam Parkes,England,Goalkeeper,30/11/1999,,
67196,Alex Král,Czech Republic,Midfielder,19/05/1998,185,72
9377,Conor Hourihane,Ireland,Midfielder,02/02/1991,180,
4615,Morgan Schneiderlin,France,Midfielder,08/11/1989,181,
14778,Tom Dele-Bashiru,Nigeria,Midfielder,17/09/1999,183,
19911,Arijanet Muric,Kosovo,Goalkeeper,07/11/1998,198,
8246,Ashley Barnes,England,Forward,30/10/1989,186,77
20095,Aiden O'Neill,Australia,Midfielder,04/07/1998,178,
33342,Odeluga Offiah,England,Defender,26/10/2002,,
31046,Jensen Weir,England,Midfielder,31/01/2002,184,
69415,Marcelo Flores,Mexico,Midfielder,01/10/2003,,
15608,Ragnar Klavan,Estonia,Defender,30/10/1985,187,
5097,Erik Durm,Germany,Defender,12/05/1992,182,
5175,Kurt Zouma,France,Defender,27/10/1994,190,96
5377,Max Meyer,Germany,Midfielder,18/09/1995,173,
10734,Emerson Hyndman,United States,Midfielder,09/04/1996,170,
24635,Eric García,Spain,Defender,09/01/2001,182,
69617,Sonny Perkins,England,Midfielder,10/02/2004,,
14830,Angel Gomes,England,Midfielder,31/08/2000,161,
19890,Lewis Brunt,England,Midfielder,06/11/2000,,
15122,Jonathan Dinzeyi,England,Defender,13/10/1999,,
24823,Armstrong Oko-Flex,Ireland,Forward,02/03/2002,,
12703,Steven Bergwijn,Netherlands,Forward,08/10/1997,178,78
14774,Aaron O'Driscoll,Ireland,Defender,04/04/1999,188,
8585,Paul Coutts,Scotland,Midfielder,22/07/1988,183,
13229,Uwe Hünemeier,Germany,Defender,09/01/1986,189,
23952,Dilan Markanday,England,Forward,20/08/2001,,
69286,Charlie Cresswell,England,Defender,17/08/2002,,
4403,Ashley Williams,Wales,Defender,23/08/1984,183,
8174,Leonardo Ulloa,Argentina,Forward,26/07/1986,188,
21821,Adam Lewis,England,Defender,08/11/1999,175,
24723,Teddy Jenks,England,Midfielder,12/03/2002,191,
26714,Taylor Gardner-Hickman,England,Defender,30/12/2001,,
4507,Kevin Mirallas,Belgium,Forward,05/10/1987,182,
4137,Tom Ince,England,Midfielder,30/01/1992,178,
15269,Angus Gunn,England,Goalkeeper,22/01/1996,196,77
5079,Ivan Cavaleiro,Portugal,Forward,18/10/1993,175,
10964,Rajiv van La Parra,Netherlands,Midfielder,04/06/1991,181,
108922,Lewis Hall,England,Midfielder,08/09/2004,,
109735,James Storer,England,Goalkeeper,,,
19681,Toni Martínez,Spain,Forward,30/06/1997,180,
