StadiumName,StadiumLink
Emirates Stadium,https://www.premierleague.com/clubs/1/Arsenal/stadium
Villa Park,https://www.premierleague.com/clubs/2/Aston-Villa/stadium
Oakwell,https://www.premierleague.com/clubs/30/Barnsley/stadium
St. Andrew's Trillion Trophy Stadium,https://www.premierleague.com/clubs/35/Birmingham-City/stadium
Ewood Park,https://www.premierleague.com/clubs/3/Blackburn-Rovers/stadium
Bloomfield Road,https://www.premierleague.com/clubs/44/Blackpool/stadium
University of Bolton Stadium,https://www.premierleague.com/clubs/27/Bolton-Wanderers/stadium
Vitality Stadium,https://www.premierleague.com/clubs/127/Bournemouth/stadium
Valley Parade,https://www.premierleague.com/clubs/32/Bradford-City/stadium
Brentford Community Stadium,https://www.premierleague.com/clubs/130/Brentford/stadium
Amex Stadium,https://www.premierleague.com/clubs/131/Brighton-and-Hove-Albion/stadium
Turf Moor,https://www.premierleague.com/clubs/43/Burnley/stadium
Cardiff City Stadium,https://www.premierleague.com/clubs/46/Cardiff-City/stadium
The Valley,https://www.premierleague.com/clubs/31/Charlton-Athletic/stadium
Stamford Bridge,https://www.premierleague.com/clubs/4/Chelsea/stadium
Highfield Road,https://www.premierleague.com/clubs/5/Coventry-City/stadium
Selhurst Park,https://www.premierleague.com/clubs/6/Crystal-Palace/stadium
Pride Park Stadium,https://www.premierleague.com/clubs/28/Derby-County/stadium
Goodison Park,https://www.premierleague.com/clubs/7/Everton/stadium
Craven Cottage,https://www.premierleague.com/clubs/34/Fulham/stadium
John Smith's Stadium,https://www.premierleague.com/clubs/159/Huddersfield-Town/stadium
KCOM Stadium,https://www.premierleague.com/clubs/41/Hull-City/stadium
Portman Road,https://www.premierleague.com/clubs/8/Ipswich-Town/stadium
Elland Road,https://www.premierleague.com/clubs/9/Leeds-United/stadium
King Power Stadium,https://www.premierleague.com/clubs/26/Leicester-City/stadium
Anfield,https://www.premierleague.com/clubs/10/Liverpool/stadium
Etihad Stadium,https://www.premierleague.com/clubs/11/Manchester-City/stadium
Old Trafford,https://www.premierleague.com/clubs/12/Manchester-United/stadium
Riverside Stadium,https://www.premierleague.com/clubs/13/Middlesbrough/stadium
St. James' Park,https://www.premierleague.com/clubs/23/Newcastle-United/stadium
Carrow Road,https://www.premierleague.com/clubs/14/Norwich-City/stadium
City Ground,https://www.premierleague.com/clubs/15/Nottingham-Forest/stadium
Boundary Park,https://www.premierleague.com/clubs/16/Oldham-Athletic/stadium
Fratton Park,https://www.premierleague.com/clubs/37/Portsmouth/stadium
Loftus Road,https://www.premierleague.com/clubs/17/Queens-Park-Rangers/stadium
Madejski Stadium,https://www.premierleague.com/clubs/40/Reading/stadium
Bramall Lane,https://www.premierleague.com/clubs/18/Sheffield-United/stadium
Hillsborough,https://www.premierleague.com/clubs/19/Sheffield-Wednesday/stadium
St. Mary's Stadium,https://www.premierleague.com/clubs/20/Southampton/stadium
bet365 Stadium,https://www.premierleague.com/clubs/42/Stoke-City/stadium
Stadium of Light,https://www.premierleague.com/clubs/29/Sunderland/stadium
Liberty Stadium,https://www.premierleague.com/clubs/45/Swansea-City/stadium
Tottenham Hotspur Stadium,https://www.premierleague.com/clubs/21/Tottenham-Hotspur/stadium
Vicarage Road,https://www.premierleague.com/clubs/33/Watford/stadium
The Hawthorns,https://www.premierleague.com/clubs/36/West-Bromwich-Albion/stadium
London Stadium,https://www.premierleague.com/clubs/25/West-Ham-United/stadium
DW Stadium,https://www.premierleague.com/clubs/39/Wigan-Athletic/stadium
Selhurst Park,https://www.premierleague.com/clubs/22/Wimbledon/stadium
Molineux Stadium,https://www.premierleague.com/clubs/38/Wolverhampton-Wanderers/stadium
