Name,Area,City,PostCode,BuildingDate,Capacity,RecordLeagueAttendance,LengthMeter,WidthMeter
Emirates Stadium,"Highbury House,  75 Drayton Park",London,N5 1BU,2006,60260,60161,105,68
Villa Park,"Villa Park,  Trinity Road",Birmingham,B6 6HE,1897,42682,,105,68
Oakwell,"Oakwell,  Grove Street",Barnsley,S71 1ET,1887,23009,,100,68
St. Andrew's Trillion Trophy Stadium,St. Andrew's Stadium,Birmingham,B9 4RL,1906,29409,,105,68
Ewood Park,"Ewood Park,  Blackburn",Lancashire,BB2 4JF,1882,31367,,105,68
Bloomfield Road,Seasiders Way,Blackpool,FY1 6JJ,1899,17338,,102,68
University of Bolton Stadium,"Burnden Way,  Horwich",Bolton,BL6 6JW,1997,28723,,105,68
Vitality Stadium,"Vitality Stadium,  Dean Court",Bournemouth,BH7 7AF,1910,11329,11459,105,68
Valley Parade,Bradford,West Yorkshire,BD8 7DY,1886,25136,,103,64
Brentford Community Stadium,"Brentford Community Stadium,  Lionel Road South",Brentford,TW8 0RU,2020,17250,,105,68
Amex Stadium,"American Express Community Stadium,  Village Way",Brighton,BN1 9BL,2011,30666,30565,105,68
Turf Moor,"Turf Moor,  Harry Potts Way,  Burnley",Lancashire,BB10 4BX,1883,21944,21870,105,68
Cardiff City Stadium,"Cardiff City Stadium,  Leckwith Road",Cardiff,CF11 8AZ,2009,33316,32321,105,68
The Valley,Floyd Road,Charlton,SE7 8BL,1919,27111,,102,67
Stamford Bridge,"Stamford Bridge,  Fulham Road",London,SW6 1HS,1877,40853,42332,103,67.5
Highfield Road,"Phoenix Way,  Foleshill,  Coventry",West Midlands,CV6 6GE,2005,32609,,105,68
Selhurst Park,"Selhurst Park Stadium,  Holmesdale Road",London,SE25 6PU,1924,25486,30115,101,68
Pride Park Stadium,"Pride Park Stadium,  Pride Park",Derby,DE24 8XL,1997,33597,,105,68
Goodison Park,"Goodison Park,  Goodison Road",Liverpool,L4 4EL,1892,39221,40552,100.48,68
Craven Cottage,Stevenage Road,London,SW6 6HH,1896,19000,,100,65
John Smith's Stadium,"The John Smith's Stadium,  Stadium Way",Huddersfield,HD1 6PX,1994,24169,24426,106,68
KCOM Stadium,"The KCOM Stadium,  West Park",Hull,HU3 6HU,2002,24983,,105,68
Portman Road,"Portman Road,  Ipswich",Suffolk,IP1 2DA,1884,30311,,102,64
Elland Road,Elland Road,Leeds,LS11 0ES,1897,37890,,106,69
King Power Stadium,"King Power Stadium,  Filbert Way",Leicester,LE2 7FL,2002,32273,32242,105,68
Anfield,"Anfield,  Anfield Road",Liverpool,L4 0TH,1884,53394,53292,101,68
Etihad Stadium,"Etihad Stadium,  Etihad Campus",Manchester,M11 3FF,2002,55017,54693,105,68
Old Trafford,"Sir Matt Busby Way,  Old Trafford",Manchester,M16 0RA,1909,74879,76098,105,68
Riverside Stadium,Riverside Stadium,Middlesbrough,TS3 6RS,1995,33746,,105,68
St. James' Park,"St. James' Park,  Strawberry Place",Newcastle Upon Tyne,NE1 4ST,1892,52305,52490,105,68
Carrow Road,Carrow Road,Norwich,NR1 1JE,1935,27359,,104,68
City Ground,City Ground,Nottingham,NG2 5FJ,1898,30445,,105,71
Boundary Park,"Furtherwood Rd,  Oldham",Greater Manchester,OL1 2PAA,1904,13512,,101,68
Fratton Park,"Fratton Park,  Frogmore Road",Portsmouth,PO4 8RA,1898,21178,,105,67
Loftus Road,"Loftus Road Stadium,  South Africa Road",London,W12 7PJ,1904,18439,,102,66
Madejski Stadium,Bennett Road,Reading,RG2 0FL,1998,24161,,102,70
Bramall Lane,"Bramall Lane,  Sheffield",South Yorkshire,S2 4SU,1855,32050,,102,66
Hillsborough,"Leppings Ln,  Sheffield",South Yorkshire,S6 1SW,1899,39732,,105,68
St. Mary's Stadium,"St Mary's Stadium,  Britannia Road",Southampton,SO14 5FP,2001,32384,32151,105,68
bet365 Stadium,"bet365 Stadium,  Stanley Matthews Way",Stoke-on-Trent,ST4 4EG,1997,30089,29661,105,68
Stadium of Light,Stadium of Light,Sunderland,SR5 1SU,1997,48707,,105,68
Liberty Stadium,"Liberty Stadium,  Landore",Swansea,SA1 2FA,2005,21088,20972,105,68
Tottenham Hotspur Stadium,"Lilywhite House,  782 High Road,  Tottenham",London,N17 0BX,2019,62062,,100,67
Vicarage Road,"Vicarage Road Stadium,  Watford",Hertfordshire,WD18 0ER,1922,21000,21590,105,68
The Hawthorns,"The Hawthorns,  West Bromwich",West Midlands,B71 4LF,1900,26688,27751,105,68
London Stadium,"London Stadium,  Queen Elizabeth Olympic Park",London,E20 2ST,2011,60000,59946,105,68
DW Stadium,"Loire Drive,  Robin Park,  Wigan",Greater Manchester,WN5 0UH,1999,25133,,105,68
Molineux Stadium,"Molineux Stadium,  Waterloo Rd",Wolverhampton,WV1 4QR,1889,32050,31322,105,68
Wembley Stadium,Wembley,London,HA9 0WS,2007,90000,89874,105,68
